kf_id	study_title	code	domain	program
SD_46SK55A3	Kids First: Congenital Diaphragmatic Hernia	KF-CDH	BD	Kids First
SD_PREASA7S	Kids First: Congenital Heart Defects	KF-CHD	BD	Kids First
SD_YGVA0E1C	Kids First: Ewing Sarcoma - Genetic Risk	KF-ESGR	C	Kids First
SD_9PYZAHHE	Kids First: Orofacial Cleft - European Ancestry	KF-OCEA	BD	Kids First
SD_DZTB5HRR	Kids First: Syndromic Cranial Dysinnervation	KF-SCD	BD	Kids First
SD_RM8AFW0R	Kids First: Adolescent Idiopathic Scoliosis	KF-AIS	BD	Kids First
SD_6FPYJQBR	Kids First: Disorders of Sex Development	KF-DSD	BD	Kids First
SD_R0EPRSGS	Kids First: Orofacial Cleft - Latin American	KF-OFCLA	BD	Kids First
SD_DYPMEHHF	Kids First: Neuroblastoma	KF-NBL	C	Kids First
SD_7NQ9151J	Kids First: Enchondromatoses	KF-ED	C	Kids First
SD_W0V965XZ	Kids First: Familial Leukemia	KF-FALL	C	Kids First
SD_DK0KRWK8	Kids First: Orofacial Cleft - African and Asian Ancestry	KF-OFCAA	BD	Kids First
SD_ZFGDG5YS	Kids First: Novel Cancer Susceptibility in Families (from BASIC3)	KF-NCSF	C	Kids First
SD_ZXJFFMEF	Kids First: Osteosarcoma	KF-OS	C	Kids First
SD_BHJXBDQK	Pediatric Brain Tumor Atlas: CBTTC	PBTA-CBTN	C	Pediatric Brain Tumor Atlas
SD_M3DBXD12	Pediatric Brain Tumor Atlas: PNOC	PBTA-PNOC	C	Pediatric Brain Tumor Atlas
SD_46RR9ZR6	TARGET: Acute Myeloid Leukemia	TARGET-AML	C	TARGET
SD_YNSSAPHE	TARGET: Neuroblastoma	TARGET-NB	C	TARGET
SD_1P41Z782	Open DIPG ICR London	ICR-DIPG	C	ICR
